sku_code,total_qty,sum_by_location
NQ-PNT-004-2XL-BEG,145,153
NQ-PNT-004-2XL-BLK,291,298
NQ-PNT-004-2XL-GRY,310,318
NQ-PNT-004-3XL-BEG,210,219
NQ-PNT-004-3XL-BLK,239,247
NQ-PNT-004-3XL-GRY,247,255
NQ-PNT-004-4XL-BEG,216,223
NQ-PNT-004-4XL-BLK,235,242
NQ-PNT-004-4XL-GRY,205,214
NQ-PNT-004-L-BEG,273,281
NQ-PNT-004-L-BLK,171,176
NQ-PNT-004-L-GRY,261,269
NQ-PNT-004-M-BEG,165,171
NQ-PNT-004-M-BLK,168,172
NQ-PNT-004-M-GRY,232,239
NQ-PNT-004-S-BEG,231,239
NQ-PNT-004-S-BLK,268,277
NQ-PNT-004-S-GRY,244,253
NQ-PNT-004-XL-BEG,258,267
NQ-PNT-004-XL-BLK,186,194
NQ-PNT-004-XL-GRY,239,249
NQ-PNT-004-XS-BEG,99,106
NQ-PNT-004-XS-BLK,120,127
NQ-PNT-004-XS-GRY,173,181
NQ-TOP-001-2XL-BLK,1988,2007
NQ-TOP-001-2XL-GRY,2029,2071
NQ-TOP-001-2XL-LYL,1971,1995
NQ-TOP-001-2XL-NVY,2116,2145
NQ-TOP-001-2XL-ORC,2101,2126
NQ-TOP-001-2XL-SKB,2002,2037
NQ-TOP-001-2XL-WHT,2002,2031
NQ-TOP-001-3XL-BLK,1398,1423
NQ-TOP-001-3XL-GRY,1559,1582
NQ-TOP-001-3XL-LYL,1516,1544
NQ-TOP-001-3XL-NVY,1542,1581
NQ-TOP-001-3XL-ORC,1614,1638
NQ-TOP-001-3XL-SKB,1456,1476
NQ-TOP-001-3XL-WHT,1620,1650
NQ-TOP-001-4XL-BLK,2810,2839
NQ-TOP-001-4XL-GRY,2913,2936
NQ-TOP-001-4XL-LYL,2833,2869
NQ-TOP-001-4XL-NVY,2848,2877
NQ-TOP-001-4XL-ORC,2884,2912
NQ-TOP-001-4XL-SKB,2959,2995
NQ-TOP-001-4XL-WHT,2922,2952
NQ-TOP-001-L-BLK,2982,3019
NQ-TOP-001-L-NVY,3406,3427
NQ-TOP-001-L-WHT,1689,1691
NQ-TOP-001-M-GRY,1723,1728
NQ-TOP-001-M-LYL,2964,2991
NQ-TOP-001-M-NVY,2803,2836
NQ-TOP-001-M-WHT,3201,3218
NQ-TOP-001-S-BLK,2471,2488
NQ-TOP-001-S-GRY,2515,2540
NQ-TOP-001-S-LYL,2383,2408
NQ-TOP-001-S-NVY,2504,2525
NQ-TOP-001-S-ORC,2299,2328
NQ-TOP-001-S-SKB,2843,2858
NQ-TOP-001-S-WHT,2403,2423
NQ-TOP-001-XL-BLK,1936,1963
NQ-TOP-001-XL-GRY,1966,2001
NQ-TOP-001-XL-LYL,1976,2003
NQ-TOP-001-XL-NVY,1577,1593
NQ-TOP-001-XL-ORC,1813,1843
NQ-TOP-001-XL-SKB,1553,1579
NQ-TOP-001-XL-WHT,1564,1594
NQ-TOP-001-XS-BLK,2510,2539
NQ-TOP-001-XS-GRY,2496,2528
NQ-TOP-001-XS-LYL,2432,2459
NQ-TOP-001-XS-NVY,2139,2175
NQ-TOP-001-XS-ORC,2531,2566
NQ-TOP-001-XS-SKB,2540,2577
NQ-TOP-001-XS-WHT,2424,2451
NQ-TOP-002-2XL-BLK,609,617
NQ-TOP-002-2XL-GRY,607,615
NQ-TOP-002-2XL-NVY,601,613
NQ-TOP-002-2XL-WHT,573,582
NQ-TOP-002-3XL-BLK,566,577
NQ-TOP-002-3XL-GRY,443,449
NQ-TOP-002-3XL-NVY,494,505
NQ-TOP-002-3XL-WHT,532,539
NQ-TOP-002-4XL-BLK,704,710
NQ-TOP-002-4XL-GRY,983,992
NQ-TOP-002-4XL-NVY,960,966
NQ-TOP-002-4XL-WHT,997,1003
NQ-TOP-002-L-BLK,902,910
NQ-TOP-002-L-WHT,609,611
NQ-TOP-002-M-GRY,544,546
NQ-TOP-002-M-NVY,1010,1018
NQ-TOP-002-M-WHT,975,982
NQ-TOP-002-S-BLK,819,824
NQ-TOP-002-S-GRY,357,363
NQ-TOP-002-S-NVY,709,719
NQ-TOP-002-S-WHT,834,843
NQ-TOP-002-XL-BLK,507,516
NQ-TOP-002-XL-GRY,584,592
NQ-TOP-002-XL-NVY,584,591
NQ-TOP-002-XL-WHT,493,501
NQ-TOP-002-XS-BLK,816,826
NQ-TOP-002-XS-GRY,846,853
NQ-TOP-002-XS-NVY,823,833
NQ-TOP-002-XS-WHT,752,759
NQ-TOP-003-2XL-BLK,632,640
NQ-TOP-003-2XL-GRY,710,721
NQ-TOP-003-2XL-NVY,636,645
NQ-TOP-003-2XL-WHT,669,676
NQ-TOP-003-3XL-BLK,496,508
NQ-TOP-003-3XL-GRY,499,507
NQ-TOP-003-3XL-NVY,534,543
NQ-TOP-003-3XL-WHT,489,500
NQ-TOP-003-4XL-BLK,1006,1016
NQ-TOP-003-4XL-GRY,909,918
NQ-TOP-003-4XL-NVY,932,941
NQ-TOP-003-4XL-WHT,652,660
NQ-TOP-003-L-GRY,480,481
NQ-TOP-003-L-WHT,1146,1156
NQ-TOP-003-M-NVY,535,536
NQ-TOP-003-M-WHT,574,575
NQ-TOP-003-S-BLK,804,812
NQ-TOP-003-S-GRY,965,971
NQ-TOP-003-S-NVY,374,377
NQ-TOP-003-S-WHT,878,886
NQ-TOP-003-XL-BLK,593,601
NQ-TOP-003-XL-GRY,582,592
NQ-TOP-003-XL-NVY,606,612
NQ-TOP-003-XL-WHT,800,811
NQ-TOP-003-XS-BLK,785,790
NQ-TOP-003-XS-GRY,779,791
NQ-TOP-003-XS-NVY,654,666
NQ-TOP-003-XS-WHT,709,718
NQ-TOP-004-2XL-BLK,187,193
NQ-TOP-004-2XL-GRY,159,165
NQ-TOP-004-2XL-NVY,118,127
NQ-TOP-004-2XL-WHT,100,105
NQ-TOP-004-3XL-BLK,167,175
NQ-TOP-004-3XL-GRY,127,135
NQ-TOP-004-3XL-NVY,136,145
NQ-TOP-004-3XL-WHT,139,149
NQ-TOP-004-4XL-BLK,193,203
NQ-TOP-004-4XL-GRY,285,293
NQ-TOP-004-4XL-NVY,286,295
NQ-TOP-004-4XL-WHT,222,232
NQ-TOP-004-L-BLK,240,246
NQ-TOP-004-L-GRY,280,288
NQ-TOP-004-L-NVY,133,137
NQ-TOP-004-L-WHT,253,262
NQ-TOP-004-M-BLK,127,129
NQ-TOP-004-M-GRY,142,147
NQ-TOP-004-M-NVY,320,328
NQ-TOP-004-M-WHT,265,274
NQ-TOP-004-S-BLK,22,30
NQ-TOP-004-S-GRY,139,147
NQ-TOP-004-S-NVY,50,58
NQ-TOP-004-S-WHT,224,232
NQ-TOP-004-XL-BLK,193,199
NQ-TOP-004-XL-GRY,113,121
NQ-TOP-004-XL-NVY,234,240
NQ-TOP-004-XL-WHT,59,66
NQ-TOP-004-XS-BLK,187,196
NQ-TOP-004-XS-GRY,182,191
NQ-TOP-004-XS-NVY,230,240
NQ-TOP-004-XS-WHT,243,251
NQ-TOP-005-2XL-BLK,184,194
NQ-TOP-005-2XL-GRY,146,155
NQ-TOP-005-2XL-NVY,111,119
NQ-TOP-005-2XL-WHT,137,144
NQ-TOP-005-3XL-BLK,128,136
NQ-TOP-005-3XL-GRY,130,137
NQ-TOP-005-3XL-NVY,108,118
NQ-TOP-005-3XL-WHT,108,115
NQ-TOP-005-4XL-BLK,196,205
NQ-TOP-005-4XL-GRY,302,310
NQ-TOP-005-4XL-NVY,183,189
NQ-TOP-005-4XL-WHT,309,316
NQ-TOP-005-L-BLK,205,209
NQ-TOP-005-L-GRY,140,148
NQ-TOP-005-L-NVY,140,150
NQ-TOP-005-L-WHT,166,172
NQ-TOP-005-M-BLK,278,287
NQ-TOP-005-M-GRY,236,244
NQ-TOP-005-M-NVY,120,122
NQ-TOP-005-M-WHT,177,178
NQ-TOP-005-S-BLK,144,152
NQ-TOP-005-S-GRY,116,125
NQ-TOP-005-S-NVY,44,52
NQ-TOP-005-S-WHT,91,97
NQ-TOP-005-XL-BLK,193,202
NQ-TOP-005-XL-GRY,172,179
NQ-TOP-005-XL-NVY,181,189
NQ-TOP-005-XL-WHT,138,147
NQ-TOP-005-XS-BLK,219,228
NQ-TOP-005-XS-GRY,229,235
NQ-TOP-005-XS-NVY,173,181
NQ-TOP-005-XS-WHT,181,188
